,0,1
187,12881326.385944149,12300658.476233903
188,30734707.06552495,12282579.665296007
189,9283557.591818796,2156188.858165369
190,4400158.666484217,7683914.867823436
191,14860572.037391173,2480081.4779220107
192,2718994.9922704366,2623979.9147192477
193,9576806.709805973,12136516.058768215
194,3555437.7954045734,50016074.19073208
195,14248871.158287328,3892359.978170922
196,2395416.0543231172,11016158.280203115
197,2883362.8813774716,12613442.894202245
198,2050639.600444837,3123679.051884204
199,24931055.151708353,2240174.033340194
200,5811063.737467984,6327166.067468863
201,27678450.822958592,7050222.702317379
202,8956695.307659853,1837025.2556289712
203,10850156.982115837,36548751.454709224
204,2945788.4587646876,14433115.313285815
205,2225543.4310425785,3317892.955718727
206,2134894.0377279883,2864059.8167265914
207,14227151.059685327,2909667.093934855
208,17268471.816578433,3735064.437130539
209,13552457.486337217,12234929.521300158
210,7019674.971759257,2074534.3842693602
211,18028044.029208597,1870915.630283839
212,4626415.217682332,43457719.74915188
213,4612442.890246708,22120191.95019508
214,14188291.293628614,11939886.894155238
215,7992167.33276312,2732988.2147202827
216,11280900.046302484,17695455.130826414
217,20831225.88197672,3366868.53986582
218,1880426.8853494972,13750192.183521897
219,24165135.97571106,3355694.057555762
220,5603932.525968686,17817450.25836283
221,3464277.1829641815,22485722.496073037
222,2400266.9629949136,2203557.148230699
223,2432423.1849813443,5994334.964313469
224,4723097.113073754,10955354.120418603
225,11725665.423336659,24908100.986723192
226,11153606.620504325,15238979.882241827
227,9410581.595965631,2510661.8604230317
228,4336112.354224088,5218938.209572922
229,3964765.1306512686,12751435.180546638
230,17922639.949321605,3025967.0329116965
231,42420309.61734384,2976970.4108615373
232,2477998.516525549,31605167.105892856
233,2124535.6545098936,11088662.766091144
234,2272800.915039435,14955526.90026152
235,8912383.515064748,17858229.74006872
236,7069703.402382806,13912135.214067936
237,2898351.075744711,17967488.747563764
238,19453513.68513023,15729969.633198302
239,12524258.092778135,4233047.168825449
240,13111180.097579518,11522784.2653272
241,7984552.441409881,2725114.749308658
242,3846916.6310413736,2349928.4220101796
243,3227701.724732316,16066070.283704417
244,5045509.037375934,18305610.41659909
245,14574753.085698662,24406828.837763235
246,7660087.68774007,3269594.1357995775
247,21085557.62389111,3192347.7821513885
248,2010354.1387742604,29053694.28221838
249,5845434.075619695,11493408.204625383
250,19598932.0778166,9533051.10491351
251,2096050.1298290922,14427210.392064344
252,10960062.770705393,11409420.483035373
253,11413361.065050684,2202956.650794731
254,2418652.447117902,5501330.449101859
255,28517354.55678613,19488667.520284694
256,16646486.008199535,17373844.051213823
257,2042624.702057882,25555357.795639217
258,8100980.966142214,2135102.4827051326
259,12359149.169308033,5238276.910656133
